attempt_idx,waypoint_idx,x,y,yaw,success,retries_used,time_to_goal_sec,recovery_used,note,stamp_sec
30,2,1.400,0.900,3.140,True,0,35.569,False,succeeded,1766304267.120
31,3,-1.600,0.900,-1.570,True,0,38.347,False,succeeded,1766304305.671
32,0,-1.800,-0.800,0.000,True,0,51.032,False,succeeded,1766304356.914
33,1,1.400,-0.800,1.570,True,1,83.756,True,succeeded,1766304621.449
34,2,1.400,0.900,3.140,True,0,16.180,False,succeeded,1766304637.835
35,3,-1.600,0.900,-1.570,True,1,111.840,True,succeeded,1766304930.480
36,0,-1.800,-0.800,0.000,True,0,14.491,False,succeeded,1766304945.177
37,1,1.400,-0.800,1.570,True,0,28.989,False,succeeded,1766304974.372
38,2,1.400,0.900,3.140,True,0,18.612,False,succeeded,1766304993.187
39,3,-1.600,0.900,-1.570,True,0,27.668,False,succeeded,1766305021.061
40,0,-1.800,-0.800,0.000,True,0,15.284,False,succeeded,1766305036.554
41,1,1.400,-0.800,1.570,True,1,155.987,True,succeeded,1766305373.343
42,2,1.400,0.900,3.140,True,0,27.301,False,succeeded,1766305400.849
43,3,-1.600,0.900,-1.570,True,0,24.385,False,succeeded,1766305425.437
44,0,-1.800,-0.800,0.000,True,0,19.543,False,succeeded,1766305445.192
45,1,1.400,-0.800,1.570,True,0,28.404,False,succeeded,1766305473.801
46,2,1.400,0.900,3.140,True,0,17.989,False,succeeded,1766305492.000
47,3,-1.600,0.900,-1.570,True,0,26.099,False,succeeded,1766305518.310
48,0,-1.800,-0.800,0.000,True,0,20.304,False,succeeded,1766305538.826
49,1,1.400,-0.800,1.570,True,0,29.190,False,succeeded,1766305568.222
50,2,1.400,0.900,3.140,True,0,16.088,False,succeeded,1766305584.517
51,3,-1.600,0.900,-1.570,True,0,24.871,False,succeeded,1766305609.591
52,0,-1.800,-0.800,0.000,True,0,18.630,False,succeeded,1766305628.429
53,1,1.400,-0.800,1.570,True,0,25.388,False,succeeded,1766305654.022
54,2,1.400,0.900,3.140,True,0,16.791,False,succeeded,1766305671.016
55,3,-1.600,0.900,-1.570,True,0,30.087,False,succeeded,1766305701.315
56,0,-1.800,-0.800,0.000,True,0,16.186,False,succeeded,1766305717.711
57,1,1.400,-0.800,1.570,True,0,25.991,False,succeeded,1766305743.905
58,2,1.400,0.900,3.140,True,0,15.606,False,succeeded,1766305759.717
59,3,-1.600,0.900,-1.570,True,0,31.692,False,succeeded,1766305791.614
60,0,-1.800,-0.800,0.000,True,0,18.483,False,succeeded,1766305810.306
61,1,1.400,-0.800,1.570,True,0,24.481,False,succeeded,1766305834.993
62,2,1.400,0.900,3.140,True,0,16.554,False,succeeded,1766305851.755
63,3,-1.600,0.900,-1.570,True,0,29.190,False,succeeded,1766305881.149
64,0,-1.800,-0.800,0.000,True,0,17.698,False,succeeded,1766305899.056
65,1,1.400,-0.800,1.570,True,0,26.095,False,succeeded,1766305925.358
66,2,1.400,0.900,3.140,True,0,15.597,False,succeeded,1766305941.159
67,3,-1.600,0.900,-1.570,True,0,26.595,False,succeeded,1766305967.959
68,0,-1.800,-0.800,0.000,True,0,15.294,False,succeeded,1766305983.458
69,1,1.400,-0.800,1.570,True,0,25.722,False,succeeded,1766306009.386
70,2,1.400,0.900,3.140,True,0,17.494,False,succeeded,1766306027.091
71,3,-1.600,0.900,-1.570,True,0,25.591,False,succeeded,1766306052.887
72,0,-1.800,-0.800,0.000,True,0,15.302,False,succeeded,1766306068.395
73,1,1.400,-0.800,1.570,True,0,23.810,False,succeeded,1766306092.410
74,2,1.400,0.900,3.140,True,0,17.004,False,succeeded,1766306109.620
75,3,-1.600,0.900,-1.570,True,0,28.807,False,succeeded,1766306138.632
76,0,-1.800,-0.800,0.000,True,0,14.601,False,succeeded,1766306153.439
77,1,1.400,-0.800,1.570,True,0,25.080,False,succeeded,1766306177.922
78,2,1.400,0.900,3.140,True,0,17.082,False,succeeded,1766306195.213
79,3,-1.600,0.900,-1.570,True,0,26.490,False,succeeded,1766306221.909
80,0,-1.800,-0.800,0.000,True,0,19.793,False,succeeded,1766306241.907
81,1,1.400,-0.800,1.570,True,0,23.622,False,succeeded,1766306265.733
82,2,1.400,0.900,3.140,True,0,15.506,False,succeeded,1766306281.443
83,3,-1.600,0.900,-1.570,True,0,25.281,False,succeeded,1766306306.929
84,0,-1.800,-0.800,0.000,True,0,13.388,False,succeeded,1766306320.519
85,1,1.400,-0.800,1.570,True,0,21.268,False,succeeded,1766306341.991
86,2,1.400,0.900,3.140,True,0,14.711,False,succeeded,1766306356.905
87,3,-1.600,0.900,-1.570,True,0,29.294,False,succeeded,1766306386.402
88,0,-1.800,-0.800,0.000,True,0,13.588,False,succeeded,1766306400.193
89,1,1.400,-0.800,1.570,True,0,24.996,False,succeeded,1766306425.393
90,2,1.400,0.900,3.140,True,0,14.177,False,succeeded,1766306439.772
91,3,-1.600,0.900,-1.570,True,0,22.364,False,succeeded,1766306462.338
92,0,-1.800,-0.800,0.000,True,0,12.978,False,succeeded,1766306475.518
93,1,1.400,-0.800,1.570,True,0,20.964,False,succeeded,1766306496.684
94,2,1.400,0.900,3.140,True,0,15.782,False,succeeded,1766306512.669
95,3,-1.600,0.900,-1.570,True,0,22.888,False,succeeded,1766306535.760
96,0,-1.800,-0.800,0.000,True,0,17.171,False,succeeded,1766306553.135
97,1,1.400,-0.800,1.570,True,0,21.379,False,succeeded,1766306574.718
98,2,1.400,0.900,3.140,True,0,16.770,False,succeeded,1766306591.691
99,3,-1.600,0.900,-1.570,True,0,24.468,False,succeeded,1766306616.361
100,0,-1.800,-0.800,0.000,True,0,12.850,False,succeeded,1766306629.416
101,1,1.400,-0.800,1.570,True,0,20.976,False,succeeded,1766306650.595
102,2,1.400,0.900,3.140,True,0,15.410,False,succeeded,1766306666.208
103,3,-1.600,0.900,-1.570,True,0,23.575,False,succeeded,1766306689.986
104,0,-1.800,-0.800,0.000,True,0,13.377,False,succeeded,1766306703.567
105,1,1.400,-0.800,1.570,True,0,21.691,False,succeeded,1766306725.461
106,2,1.400,0.900,3.140,True,0,13.377,False,succeeded,1766306739.042
107,3,-1.600,0.900,-1.570,True,0,24.375,False,succeeded,1766306763.621
108,0,-1.800,-0.800,0.000,True,0,15.885,False,succeeded,1766306779.711
109,1,1.400,-0.800,1.570,True,0,21.974,False,succeeded,1766306801.888
110,2,1.400,0.900,3.140,True,0,15.558,False,succeeded,1766306817.648
111,3,-1.600,0.900,-1.570,True,0,23.677,False,succeeded,1766306841.528
112,0,-1.800,-0.800,0.000,True,0,12.980,False,succeeded,1766306854.710
113,1,1.400,-0.800,1.570,True,0,21.064,False,succeeded,1766306875.978
114,2,1.400,0.900,3.140,True,0,15.567,False,succeeded,1766306891.747
115,3,-1.600,0.900,-1.570,True,0,23.078,False,succeeded,1766306915.028
116,0,-1.800,-0.800,0.000,True,0,11.866,False,succeeded,1766306927.097
117,1,1.400,-0.800,1.570,True,0,20.973,False,succeeded,1766306948.272
118,2,1.400,0.900,3.140,True,0,13.487,False,succeeded,1766306961.961
119,3,-1.600,0.900,-1.570,True,0,24.143,False,succeeded,1766306986.307
120,0,-1.800,-0.800,0.000,True,0,13.980,False,succeeded,1766307000.490
121,1,1.400,-0.800,1.570,True,0,21.145,False,succeeded,1766307021.838
122,2,1.400,0.900,3.140,True,0,16.458,False,succeeded,1766307038.499
123,3,-1.600,0.900,-1.570,True,0,22.370,False,succeeded,1766307061.071
124,0,-1.800,-0.800,0.000,True,0,14.603,False,succeeded,1766307075.879
125,1,1.400,-0.800,1.570,True,0,24.108,False,succeeded,1766307100.195
126,2,1.400,0.900,3.140,True,0,13.765,False,succeeded,1766307114.162
127,3,-1.600,0.900,-1.570,True,0,21.379,False,succeeded,1766307135.743
128,0,-1.800,-0.800,0.000,True,0,13.676,False,succeeded,1766307149.621
129,1,1.400,-0.800,1.570,True,0,21.294,False,succeeded,1766307171.117
130,2,1.400,0.900,3.140,True,0,14.278,False,succeeded,1766307185.597
131,3,-1.600,0.900,-1.570,True,0,22.084,False,succeeded,1766307207.884
132,0,-1.800,-0.800,0.000,True,0,12.367,False,succeeded,1766307220.454
133,1,1.400,-0.800,1.570,True,0,21.184,False,succeeded,1766307241.841
134,2,1.400,0.900,3.140,True,0,14.503,False,succeeded,1766307256.547
135,3,-1.600,0.900,-1.570,True,0,20.691,False,succeeded,1766307277.441
136,0,-1.800,-0.800,0.000,True,0,15.773,False,succeeded,1766307293.416
137,1,1.400,-0.800,1.570,True,0,21.870,False,succeeded,1766307315.490
138,2,1.400,0.900,3.140,True,0,13.888,False,succeeded,1766307329.581
139,3,-1.600,0.900,-1.570,True,0,22.147,False,succeeded,1766307351.930
140,0,-1.800,-0.800,0.000,True,0,14.883,False,succeeded,1766307367.016
141,1,1.400,-0.800,1.570,True,0,22.233,False,succeeded,1766307389.453
142,2,1.400,0.900,3.140,True,0,13.670,False,succeeded,1766307403.326
143,3,-1.600,0.900,-1.570,True,0,23.584,False,succeeded,1766307427.114
144,0,-1.800,-0.800,0.000,True,0,13.965,False,succeeded,1766307441.284
145,1,1.400,-0.800,1.570,True,0,24.962,False,succeeded,1766307466.449
146,2,1.400,0.900,3.140,True,0,15.052,False,succeeded,1766307481.704
147,3,-1.600,0.900,-1.570,True,0,22.974,False,succeeded,1766307504.881
148,0,-1.800,-0.800,0.000,True,0,16.376,False,succeeded,1766307521.462
149,1,1.400,-0.800,1.570,True,0,21.889,False,succeeded,1766307543.554
150,2,1.400,0.900,3.140,True,0,15.976,False,succeeded,1766307559.734
151,3,-1.600,0.900,-1.570,True,0,21.981,False,succeeded,1766307581.918
152,0,-1.800,-0.800,0.000,True,0,13.281,False,succeeded,1766307595.403
153,1,1.400,-0.800,1.570,True,0,22.264,False,succeeded,1766307617.869
154,2,1.400,0.900,3.140,True,0,13.777,False,succeeded,1766307631.850
155,3,-1.600,0.900,-1.570,True,0,20.164,False,succeeded,1766307652.216
156,0,-1.800,-0.800,0.000,True,0,13.500,False,succeeded,1766307665.920
157,1,1.400,-0.800,1.570,True,0,21.065,False,succeeded,1766307687.187
158,2,1.400,0.900,3.140,True,0,14.872,False,succeeded,1766307702.263
159,3,-1.600,0.900,-1.570,True,0,27.930,False,succeeded,1766307730.396
160,0,-1.800,-0.800,0.000,True,0,12.981,False,succeeded,1766307743.579
161,1,1.400,-0.800,1.570,True,0,21.393,False,succeeded,1766307765.175
162,2,1.400,0.900,3.140,True,0,14.078,False,succeeded,1766307779.456
163,3,-1.600,0.900,-1.570,True,0,21.789,False,succeeded,1766307801.449
164,0,-1.800,-0.800,0.000,True,0,13.279,False,succeeded,1766307814.933
165,1,1.400,-0.800,1.570,True,0,22.079,False,succeeded,1766307837.215
166,2,1.400,0.900,3.140,True,0,14.075,False,succeeded,1766307851.493
167,3,-1.600,0.900,-1.570,True,0,22.568,False,succeeded,1766307874.264
168,0,-1.800,-0.800,0.000,True,0,13.863,False,succeeded,1766307888.331
169,1,1.400,-0.800,1.570,True,0,22.173,False,succeeded,1766307910.709
170,2,1.400,0.900,3.140,True,0,14.918,False,succeeded,1766307925.831
171,3,-1.600,0.900,-1.570,True,0,22.814,False,succeeded,1766307948.847
172,0,-1.800,-0.800,0.000,True,0,12.668,False,succeeded,1766307961.719
173,1,1.400,-0.800,1.570,True,0,21.879,False,succeeded,1766307983.801
174,2,1.400,0.900,3.140,True,0,15.171,False,succeeded,1766307999.176
175,3,-1.600,0.900,-1.570,True,0,23.362,False,succeeded,1766308022.741
176,0,-1.800,-0.800,0.000,True,0,14.387,False,succeeded,1766308037.332
177,1,1.400,-0.800,1.570,True,0,21.993,False,succeeded,1766308059.528
178,2,1.400,0.900,3.140,True,0,14.982,False,succeeded,1766308074.713
179,3,-1.600,0.900,-1.570,True,0,22.176,False,succeeded,1766308097.092
180,0,-1.800,-0.800,0.000,True,0,14.397,False,succeeded,1766308111.693
181,1,1.400,-0.800,1.570,True,0,21.583,False,succeeded,1766308133.479
182,2,1.400,0.900,3.140,True,0,15.180,False,succeeded,1766308148.862
